Valor do sinal,Temperatura,Umidade,Hora
-0.251953125,25.3°C,69%,18:05:24
-0.2265625,25.3°C,69%,18:05:41
-0.03515625,25.3°C,69%,18:05:57
0.021484375,25.3°C,69%,18:06:13
-0.251953125,25.3°C,69%,18:06:29
-0.208984375,25.3°C,69%,18:06:46
-0.009765625,25.3°C,69%,18:07:02
-0.03125,25.3°C,69%,18:07:18
-0.29296875,25.3°C,69%,18:07:34
-0.22265625,25.3°C,69%,18:07:51
-0.0390625,25.3°C,69%,18:08:07
-0.14453125,25.3°C,69%,18:08:23
-0.36328125,25.3°C,69%,18:08:39
-0.318359375,25.3°C,69%,18:08:56
-0.197265625,25.3°C,69%,18:09:12
-0.455078125,25.3°C,69%,18:09:28
-0.634765625,25.3°C,69%,18:09:44
-0.681640625,25.3°C,69%,18:10:00
-0.74609375,25.3°C,69%,18:10:16
-0.998046875,25.3°C,69%,18:10:32
-1.0,25.3°C,69%,18:10:49
-1.0,25.3°C,69%,18:11:05
-1.0,25.3°C,69%,18:11:21
-1.0,25.3°C,69%,18:11:37
-1.0,25.3°C,69%,18:11:54
-1.0,25.3°C,69%,18:12:10
-1.0,25.3°C,69%,18:12:26
-1.0,25.3°C,69%,18:12:42
-1.0,25.3°C,69%,18:12:58
-1.0,25.3°C,69%,18:13:14
-1.0,25.3°C,69%,18:13:31
-1.0,25.3°C,69%,18:13:47
-1.0,25.3°C,69%,18:14:03
-1.0,25.3°C,69%,18:14:19
-1.0,25.3°C,69%,18:14:36
-1.0,25.3°C,69%,18:14:52
-1.0,25.3°C,69%,18:15:08
-1.0,25.3°C,69%,18:15:24
-1.0,25.3°C,69%,18:15:41
-1.0,25.3°C,69%,18:15:57
-1.0,25.3°C,69%,18:16:13
-1.0,25.3°C,69%,18:16:29
-1.0,25.3°C,69%,18:16:46
-1.0,25.3°C,69%,18:17:02
-1.0,25.3°C,69%,18:17:18
-1.0,25.3°C,69%,18:17:34
-1.0,25.3°C,69%,18:17:50
-1.0,25.3°C,69%,18:18:06
-1.0,25.3°C,69%,18:18:23
-0.9921875,25.3°C,69%,18:18:39
-0.40625,25.3°C,69%,18:18:55
0.255859375,25.3°C,69%,18:19:11
0.61328125,25.3°C,69%,18:19:27
0.78515625,25.3°C,69%,18:19:43
0.818359375,25.3°C,69%,18:20:00
0.818359375,25.3°C,69%,18:20:16
0.818359375,25.3°C,69%,18:20:32
0.818359375,25.3°C,69%,18:20:48
0.818359375,25.3°C,69%,18:21:04
0.818359375,25.3°C,69%,18:21:20
0.818359375,25.3°C,69%,18:21:36
0.818359375,25.3°C,69%,18:21:53
0.818359375,25.3°C,69%,18:22:09
0.818359375,25.3°C,69%,18:22:25
0.818359375,25.3°C,69%,18:22:41
0.818359375,25.3°C,69%,18:22:58
0.818359375,25.3°C,69%,18:23:14
0.818359375,25.3°C,69%,18:23:30
0.818359375,25.3°C,69%,18:23:46
0.818359375,25.3°C,69%,18:24:03
0.818359375,25.3°C,69%,18:24:19
0.818359375,25.3°C,69%,18:24:35
0.818359375,25.3°C,69%,18:24:52
0.818359375,25.3°C,69%,18:25:08
0.818359375,25.3°C,69%,18:25:24
0.818359375,25.3°C,69%,18:25:40
0.818359375,25.3°C,69%,18:25:56
0.818359375,25.3°C,69%,18:26:12
0.818359375,25.3°C,69%,18:26:28
0.818359375,25.3°C,69%,18:26:45
0.818359375,25.3°C,69%,18:27:01
0.818359375,25.3°C,69%,18:27:17
0.818359375,25.3°C,69%,18:27:33
0.818359375,25.3°C,69%,18:27:49
0.818359375,25.3°C,69%,18:28:06
0.818359375,25.3°C,69%,18:28:22
0.818359375,25.3°C,69%,18:28:38
0.81640625,25.3°C,69%,18:28:54
0.77734375,25.3°C,69%,18:29:10
0.49609375,25.3°C,69%,18:29:27
0.248046875,25.3°C,69%,18:29:43
-0.21484375,25.3°C,69%,18:29:59
-0.330078125,25.3°C,69%,18:30:15
-0.41015625,25.3°C,69%,18:30:32
-0.67578125,25.3°C,69%,18:30:48
-0.8671875,25.3°C,69%,18:31:04
-0.962890625,25.3°C,69%,18:31:20
-0.98828125,25.3°C,69%,18:31:36
-1.0,25.3°C,69%,18:31:53
-1.0,25.3°C,69%,18:32:09
-1.0,25.5°C,69%,18:32:25
-1.0,25.5°C,69%,18:32:41
-1.0,25.5°C,69%,18:32:58
-1.0,25.5°C,69%,18:33:14
-1.0,25.5°C,69%,18:33:30
-1.0,25.5°C,69%,18:33:46
-1.0,25.5°C,69%,18:34:02
-1.0,25.5°C,69%,18:34:18
-1.0,25.5°C,69%,18:34:34
-1.0,25.5°C,69%,18:34:51
-1.0,25.5°C,69%,18:35:07
-1.0,25.5°C,69%,18:35:23
-1.0,25.5°C,69%,18:35:39
-1.0,25.5°C,69%,18:35:55
-1.0,25.5°C,69%,18:36:12
-1.0,25.5°C,69%,18:36:28
-1.0,25.5°C,69%,18:36:44
-1.0,25.5°C,69%,18:37:01
-1.0,25.5°C,69%,18:37:17
-1.0,25.5°C,69%,18:37:33
-1.0,25.5°C,69%,18:37:49
-1.0,25.5°C,69%,18:38:05
-1.0,25.5°C,69%,18:38:21
-1.0,25.5°C,69%,18:38:38
-1.0,25.5°C,69%,18:38:54
-1.0,25.5°C,69%,18:39:10
-1.0,25.5°C,69%,18:39:26
-1.0,25.5°C,69%,18:39:42
-1.0,25.5°C,69%,18:39:59
-1.0,25.5°C,69%,18:40:15
-1.0,25.5°C,69%,18:40:31
-1.0,25.5°C,69%,18:40:48
-1.0,25.5°C,69%,18:41:04
-1.0,25.5°C,69%,18:41:20
-1.0,25.5°C,69%,18:41:36
-1.0,25.5°C,69%,18:41:52
-1.0,25.5°C,69%,18:42:09
-1.0,25.5°C,69%,18:42:25
-1.0,25.5°C,69%,18:42:41
-1.0,25.5°C,69%,18:42:58
-1.0,25.5°C,69%,18:43:14
-1.0,25.5°C,69%,18:43:30
-1.0,25.5°C,69%,18:43:46
-0.54296875,25.5°C,69%,18:44:02
0.818359375,25.5°C,69%,18:44:18
0.818359375,25.5°C,69%,18:44:35
0.818359375,25.5°C,69%,18:44:51
0.818359375,25.5°C,69%,18:45:07
0.818359375,25.5°C,69%,18:45:23
0.818359375,25.5°C,69%,18:45:40
0.818359375,25.5°C,69%,18:45:56
0.818359375,25.5°C,69%,18:46:12
0.818359375,25.5°C,69%,18:46:28
0.818359375,25.5°C,69%,18:46:45
0.818359375,25.5°C,69%,18:47:01
0.818359375,25.5°C,69%,18:47:17
0.818359375,25.5°C,69%,18:47:33
0.818359375,25.5°C,69%,18:47:49
0.818359375,25.5°C,69%,18:48:05
0.818359375,25.5°C,69%,18:48:21
0.818359375,25.5°C,69%,18:48:37
0.81640625,25.5°C,69%,18:48:54
0.814453125,25.5°C,69%,18:49:10
0.7421875,25.5°C,69%,18:49:26
0.58984375,25.5°C,69%,18:49:42
0.255859375,25.5°C,69%,18:49:58
0.2578125,25.5°C,69%,18:50:14
0.23046875,25.5°C,69%,18:50:31
0.041015625,25.5°C,69%,18:50:47
-0.208984375,25.5°C,69%,18:51:03
-0.18359375,25.5°C,69%,18:51:19
-0.15625,25.5°C,69%,18:51:35
-0.48046875,25.5°C,69%,18:51:52
-0.583984375,25.5°C,69%,18:52:08
-0.59765625,25.5°C,69%,18:52:24
-0.4765625,25.5°C,69%,18:52:40
-0.71875,25.5°C,69%,18:52:57
-0.716796875,25.5°C,69%,18:53:13
-0.685546875,25.5°C,69%,18:53:29
-0.568359375,25.5°C,69%,18:53:46
-0.73828125,25.5°C,69%,18:54:02
-0.736328125,25.5°C,69%,18:54:18
-0.654296875,25.5°C,69%,18:54:34
-0.595703125,25.5°C,69%,18:54:51
-0.724609375,25.5°C,69%,18:55:07
-0.7109375,25.5°C,69%,18:55:23
-0.583984375,25.5°C,69%,18:55:39
-0.59765625,25.5°C,69%,18:55:55
-0.685546875,25.5°C,69%,18:56:11
-0.6953125,25.5°C,69%,18:56:27
-0.560546875,25.5°C,69%,18:56:44
-0.666015625,25.5°C,69%,18:57:00
-0.7421875,25.5°C,69%,18:57:16
-0.69140625,25.5°C,69%,18:57:32
-0.529296875,25.5°C,69%,18:57:48
-0.658203125,25.5°C,69%,18:58:04
-0.6796875,25.5°C,69%,18:58:21
-0.62109375,25.5°C,69%,18:58:37
-0.439453125,25.5°C,69%,18:58:53
-0.6328125,25.5°C,69%,18:59:09
-0.634765625,25.5°C,69%,18:59:25
-0.716796875,25.5°C,69%,18:59:42
-0.869140625,25.5°C,69%,18:59:58
-0.52734375,25.5°C,69%,19:00:14
-0.62109375,25.5°C,69%,19:00:30
-0.470703125,25.5°C,69%,19:00:46
-0.42578125,25.5°C,69%,19:01:02
-0.609375,25.5°C,69%,19:01:18
-0.638671875,25.5°C,69%,19:01:35
-0.451171875,25.5°C,69%,19:01:51
-0.49609375,25.5°C,69%,19:02:07
-0.611328125,25.5°C,69%,19:02:23
-0.603515625,25.5°C,69%,19:02:39
-0.421875,25.5°C,69%,19:02:55
-0.603515625,25.5°C,69%,19:03:11
-0.86328125,25.5°C,69%,19:03:28
-0.994140625,25.5°C,69%,19:03:44
-1.0,25.5°C,69%,19:04:00
-1.0,25.5°C,69%,19:04:16
-1.0,25.5°C,69%,19:04:32
-1.0,25.5°C,69%,19:04:49
-1.0,25.5°C,69%,19:05:05
-1.0,25.5°C,69%,19:05:21
-1.0,25.5°C,69%,19:05:37
-0.912109375,25.5°C,69%,19:05:53
-0.48046875,25.5°C,69%,19:06:09
0.134765625,25.5°C,69%,19:06:25
0.349609375,25.5°C,69%,19:06:42
0.44140625,25.5°C,69%,19:06:58
0.7421875,25.5°C,69%,19:07:14
0.8125,25.5°C,69%,19:07:30
0.81640625,25.5°C,69%,19:07:47
0.814453125,25.5°C,69%,19:08:03
0.685546875,26.0°C,70%,19:08:19
0.681640625,26.0°C,70%,19:08:35
0.609375,26.0°C,70%,19:08:52
0.68359375,26.0°C,70%,19:09:08
0.76171875,26.0°C,70%,19:09:24
0.69921875,26.0°C,70%,19:09:40
0.544921875,26.0°C,70%,19:09:56
0.546875,26.0°C,70%,19:10:12
0.564453125,26.0°C,70%,19:10:28
0.55078125,26.0°C,70%,19:10:45
0.29296875,26.0°C,70%,19:11:01
0.3828125,26.0°C,70%,19:11:17
0.458984375,26.0°C,70%,19:11:33
0.396484375,26.0°C,70%,19:11:49
0.193359375,26.0°C,70%,19:12:05
0.333984375,26.0°C,70%,19:12:22
0.34765625,26.0°C,70%,19:12:38
0.28515625,26.0°C,70%,19:12:54
0.02734375,26.0°C,70%,19:13:10
0.19140625,26.0°C,70%,19:13:26
0.2421875,26.0°C,70%,19:13:42
0.11328125,26.0°C,70%,19:13:59
0.044921875,26.0°C,70%,19:14:15
0.265625,26.0°C,70%,19:14:31
0.23828125,26.0°C,70%,19:14:47
0.056640625,26.0°C,70%,19:15:03
0.259765625,26.0°C,70%,19:15:20
0.3984375,26.0°C,70%,19:15:36
0.33203125,26.0°C,70%,19:15:52
0.107421875,26.0°C,70%,19:16:08
0.17578125,26.0°C,70%,19:16:25
0.12890625,26.0°C,70%,19:16:41
0.123046875,26.0°C,70%,19:16:57
-0.12890625,26.0°C,70%,19:17:13
-0.033203125,26.0°C,70%,19:17:30
0.169921875,26.0°C,70%,19:17:46
0.087890625,26.0°C,70%,19:18:02
-0.1484375,26.0°C,70%,19:18:18
-0.01171875,26.0°C,70%,19:18:34
0.119140625,26.0°C,70%,19:18:51
-0.015625,26.0°C,70%,19:19:07
-0.154296875,26.0°C,70%,19:19:23
-0.017578125,26.0°C,70%,19:19:39
0.1171875,26.0°C,70%,19:19:56
-0.107421875,26.0°C,70%,19:20:12
-0.20703125,26.0°C,70%,19:20:28
-0.0234375,26.0°C,70%,19:20:44
0.060546875,26.0°C,70%,19:21:00
-0.166015625,26.0°C,70%,19:21:16
-0.16796875,26.0°C,70%,19:21:32
0.05078125,26.0°C,70%,19:21:48
0.09375,26.0°C,70%,19:22:05
-0.189453125,26.0°C,70%,19:22:21
-0.134765625,26.0°C,70%,19:22:37
0.146484375,26.0°C,70%,19:22:53
0.09375,26.0°C,70%,19:23:09
-0.138671875,26.0°C,70%,19:23:26
-0.044921875,26.0°C,70%,19:23:42
0.119140625,26.0°C,70%,19:23:58
0.015625,26.0°C,70%,19:24:14
-0.220703125,26.0°C,70%,19:24:30
-0.08203125,26.0°C,70%,19:24:47
0.068359375,26.0°C,70%,19:25:03
-0.080078125,26.0°C,70%,19:25:19
-0.240234375,26.0°C,70%,19:25:35
-0.048828125,26.0°C,70%,19:25:51
0.076171875,26.0°C,70%,19:26:07
-0.126953125,26.0°C,70%,19:26:23
-0.193359375,26.0°C,70%,19:26:40
-0.00390625,26.0°C,70%,19:26:56
0.080078125,26.0°C,70%,19:27:12
-0.20703125,26.0°C,70%,19:27:28
-0.16796875,26.0°C,70%,19:27:44
0.0625,26.0°C,70%,19:28:00
0.076171875,26.0°C,70%,19:28:16
-0.216796875,26.0°C,70%,19:28:32
-0.1875,26.0°C,70%,19:28:49
0.029296875,26.0°C,70%,19:29:05
0.029296875,26.0°C,70%,19:29:21
-0.236328125,26.0°C,70%,19:29:37
-0.201171875,26.0°C,70%,19:29:53
-0.11328125,26.0°C,70%,19:30:09
-0.181640625,26.0°C,70%,19:30:26
-0.439453125,26.0°C,70%,19:30:42
-0.39453125,26.0°C,70%,19:30:58
-0.123046875,26.0°C,70%,19:31:14
-0.052734375,26.0°C,70%,19:31:30
0.13671875,26.0°C,70%,19:31:46
0.5078125,26.0°C,70%,19:32:02
0.4921875,26.0°C,70%,19:32:19
0.609375,26.0°C,70%,19:32:35
0.57421875,26.0°C,70%,19:32:51
0.501953125,26.0°C,70%,19:33:07
0.42578125,26.0°C,70%,19:33:23
0.185546875,26.0°C,70%,19:33:40
0.046875,26.0°C,70%,19:33:56
0.171875,26.0°C,70%,19:34:12
0.15625,26.0°C,70%,19:34:28
-0.068359375,26.0°C,70%,19:34:44
0.005859375,26.0°C,70%,19:35:01
0.0234375,26.0°C,70%,19:35:17
-0.77734375,26.0°C,70%,19:35:33
-1.0,26.0°C,70%,19:35:49
-1.0,26.0°C,70%,19:36:05
-1.0,26.0°C,70%,19:36:21
-1.0,26.0°C,70%,19:36:37
-1.0,26.0°C,70%,19:36:53
-1.0,26.0°C,70%,19:37:09
-1.0,26.0°C,70%,19:37:25
-1.0,26.0°C,70%,19:37:42
-1.0,26.0°C,70%,19:37:58
-1.0,26.0°C,70%,19:38:14
-1.0,26.0°C,70%,19:38:30
-1.0,26.0°C,70%,19:38:46
-1.0,26.0°C,70%,19:39:03
-1.0,26.0°C,70%,19:39:19
-1.0,26.0°C,70%,19:39:35
-1.0,26.0°C,70%,19:39:51
-1.0,26.0°C,70%,19:40:07
